County Fips Code,State Name,County Name,Flfpr 20To64,Fme 2022,Hispanic,Infant Center 2022,Infant Center 2024,Infant Center Faminc,Infant Home 2022,Infant Home 2024,Infant Home Faminc,Mfi,Onerace A,Onerace B,Onerace W,Pr F,Preschool Center 2022,Preschool Center 2024,Preschool Center Faminc,Preschool Home 2022,Preschool Home 2024,Preschool Home Faminc,Schoolage Center 2022,Schoolage Center 2024,Schoolage Center Faminc,Schoolage Home 2022,Schoolage Home 2024,Schoolage Home Faminc,Select price,Select price (24),Select share,Toddler Center 2022,Toddler Center 2024,Toddler Center Faminc,Toddler Home 2022,Toddler Home 2024,Toddler Home Faminc,Totalpop
01001,Alabama,Autauga County,68.4,30975,3.2,7582,8408.438476563,0.090488128,7058,7827.321777344,0.084234394,83790,1.1,19.6,74.4,8.3,6498,7206.282226563,0.077551022,6744,7479.096191406,0.080486931,5903,6546.426757813,0.070449933,6105,6770.444824219,0.072860725,6105,6770.444824219,7.3%,7213,7999.216796875,0.086084262,6744,7479.096191406,0.080486931,58761
01003,Alabama,Baldwin County,71.1,30953,4.8,6932,7687.587890625,0.077062465,6733,7466.896972656,0.074850202,89953,0.9,8.3,84,7,6390,7086.509765625,0.071037099,6733,7466.896972656,0.074850202,5794,6425.545898438,0.064411417,5108,5664.771972656,0.056785211,5108,5664.771972656,5.7%,6715,7446.935058594,0.074650094,6733,7466.896972656,0.074850202,233420
01005,Alabama,Barbour County,64.6,27128,4.8,6336,7026.624023438,0.113809459,5453,6047.376953125,0.097948700,55672,0.5,46.9,45.5,20.8,5741,6366.769042969,0.103121854,5497,6096.172851563,0.098739043,5405,5994.145019531,0.097086504,3928,4356.151855469,0.070556112,3928,4356.151855469,7.1%,6066,6727.193847656,0.108959623,5497,6096.172851563,0.098739043,24877
01007,Alabama,Bibb County,67.5,24206,2.9,7094,7867.24609375,0.101250283,5386,5973.07421875,0.076872572,70064,0.3,20.7,75.8,16.3,6693,7422.537109375,0.095526949,5386,5973.07421875,0.076872572,6498,7206.282226563,0.092743777,5386,5973.07421875,0.076872572,5386,5973.07421875,7.7%,6888,7638.791992188,0.098310113,5386,5973.07421875,0.076872572,22251
01009,Alabama,Blount County,64.8,29955,9.7,7588,8415.091796875,0.103198782,7570,8395.129882813,0.102953978,73528,0.2,1.2,91.3,10.2,7173,7954.856933594,0.097554676,6725,7458.024902344,0.091461755,6438,7139.7421875,0.087558478,6557,7271.712890625,0.089176916,6557,7271.712890625,8.9%,7823,8675.70703125,0.106394842,7375,8178.875,0.100301929,59077
01011,Alabama,Bullock County,62.2,24106,8.8,7582,8408.438476563,0.173302859,7058,7827.321777344,0.161325708,43750,0.4,68.9,23.2,22.1,6498,7206.282226563,0.148525715,6744,7479.096191406,0.154148579,5903,6546.426757813,0.134925708,6105,6770.444824219,0.139542863,6105,6770.444824219,14.0%,7213,7999.216796875,0.164868578,6744,7479.096191406,0.154148579,10328
01013,Alabama,Butler County,71.1,23933,1.7,7532,8352.98828125,0.127193198,7050,7818.450195313,0.119053647,59217,1.3,44.6,51.5,17.5,6456,7159.704101563,0.109022744,6736,7470.224121094,0.113751121,5862,6500.958007813,0.098991841,6097,6761.573242188,0.102960296,6097,6761.573242188,10.3%,7171,7952.639160156,0.121096984,6736,7470.224121094,0.113751121,18981
01015,Alabama,Calhoun County,65.7,25649,4.1,5968,6618.512207031,0.086544178,5386,5973.07421875,0.078104384,68959,0.7,22.1,71.7,12.9,5957,6606.312988281,0.086384661,5386,5973.07421875,0.078104384,5307,5885.462890625,0.076958776,5487,6085.083007813,0.079569019,5487,6085.083007813,8.0%,5957,6606.312988281,0.086384661,5386,5973.07421875,0.078104384,116162
01017,Alabama,Chambers County,67.8,27804,3.3,7018,7782.961914063,0.116966665,6946,7703.113769531,0.115766667,60000,0.2,40.8,56.7,13.8,6531,7242.87890625,0.108850002,6677,7404.79296875,0.111283332,6195,6870.254882813,0.103249997,6733,7466.896972656,0.112216666,6733,7466.896972656,11.2%,6986,7747.474121094,0.116433330,6872,7621.047851563,0.114533335,34612
01019,Alabama,Cherokee County,62.6,29714,1.9,6113,6779.316894531,0.096375473,4304,4773.136230469,0.067855395,63429,0.1,4,91.3,12.3,5346,5928.713867188,0.084283218,4360,4835.240234375,0.068738274,5436,6028.523925781,0.085702121,4360,4835.240234375,0.068738274,4360,4835.240234375,6.9%,5606,6217.054199219,0.088382289,4360,4835.240234375,0.068738274,25069
